Date,Step,Close_pred,Change_pred,Return_pred,Open_pred,High_pred,Low_pred,Volume_pred,TradingValue_pred,MarketCap_pred,SharesOutstanding_pred,MA_20_pred,Volatility_20_pred,Close_MA20_Ratio_pred,Close_actual
2025-10-27,116,54997.90554774755,-7.449326272550412,0.019261785808536224,55006.35517679687,55770.62575150911,54432.38254398966,18148668.60739953,1007168605715.0206,325575704335085.9,5918091861.164281,54872.89776447072,0.026407622658176585,1.0019698852487546,99500
2025-10-28,117,54990.30609143323,-7.425832002963585,0.019300983888368452,54998.698721870824,55763.03618986049,54424.78285707573,18148933.346998155,1007049852225.6646,325529409902041.25,5918074657.106702,54864.895070332794,0.02641227382325859,1.0019753851771895,100500
2025-10-29,118,54982.73018641766,-7.40217527559766,0.019340378989610506,54991.065843719465,55755.469788751594,54417.20706062399,18149189.076033834,1006931002370.6707,325483254992635.25,5918057426.99816,54856.9130778784,0.026416879055703026,1.001980935124906,104100
2025-10-30,119,54975.1779821026,-7.378371568353618,0.019379951343828136,54983.456705818535,55747.926730765175,54409.65528495882,18149436.34492384,1006812092635.0597,325437240513046.8,5918040171.423993,54848.952191790784,0.026421440333805817,1.0019865311160394,107500
2025-10-31,120,54967.649612991285,-7.354435682614497,0.01941968204859194,54975.87145606852,55740.407182138886,54402.12764628531,18149675.68122845,1006693157816.6641,325391367280638.94,5918022890.959053,54841.0127909713,0.026425959558017728,1.0019921693422265,111100
2025-11-03,121,54960.14519934219,-7.330381769704093,0.01945955303353065,54968.310227475275,55732.91129347486,54394.624247313404,18149907.590517204,1006574231091.849,325345636027849.5,5918005586.1679735,54833.09522959779,0.02643043855388323,1.0019978461563797,104900
2025-11-04,122,54952.664847797096,-7.30622335632226,0.019499547027674282,54960.77313880385,55725.43920042153,54387.14517785742,18150132.557203706,1006455344078.8219,325300047405929.9,5917988257.605417,54825.199838143686,0.026434879074869418,1.002003558066672,100600
2025-11-05,123,54945.20865198465,-7.281973369004778,0.019539647528087147,54953.26029520691,55717.991024328934,54379.69051541218,18150351.045349825,1006336526898.5795,325254601988537.25,5917970905.816324,54817.32692435919,0.026439282805089077,1.0020093017307286,99200
2025-11-06,124,54937.776693100284,-7.257644157625865,0.0195798387697232,54945.77178882845,55710.566872878466,54372.26032570646,18150563.49944033,1006217808233.5923,325209300275186.1,5917953531.336146,54809.47677421588,0.026443651361921942,1.0020150739500207,97900
2025-11-07,125,54930.36904046333,-7.233247518015272,0.019620105696418418,54938.30769938397,55703.16684068794,54364.85466323472,18150770.345129482,1006099215384.3257,325164142694565.1,5917936134.69108,54801.64965281598,0.026447986298537913,1.0020208716644508,100600
2025-11-10,126,54922.98575205247,-7.208794713678987,0.01966043393304825,54930.8680947179,55695.79100989316,54357.473571767965,18150971.989959534,1005980774323.6155,325119129607723.25,5917918716.398286,54793.84580526756,0.02645228910632592,1.0020266919471315,103500
2025-11-11,127,54915.62687501994,-7.184296496720211,0.01970080975870633,54923.453031339166,55688.43945070664,54350.117084844445,18151168.82405346,1005862509749.053,325074261311131.25,5917901276.966105,54786.065457526915,0.026456561217231993,1.002032531999343,103100
2025-11-12,128,54908.29244618578,-7.1597631279170635,0.01974122008097291,54916.06255493575,55681.112221954485,54342.785226241154,18151361.22078168,1005744445133.3823,325029538039622.9,5917883816.89427,54778.30881720911,0.026460804006009912,1.0020383891456723,102800
2025-11-13,129,54900.98249251238,-7.135204396075306,0.01978165241111834,54908.69670086903,55673.80937159228,54335.47801042652,18151549.537404586,1005626602773.056,324984959969220.56,5917866336.674101,54770.57607436802,0.026465018792387746,1.0020442608293212,97200
2025-11-14,130,54893.697031560696,-7.110629636580509,0.01982209484033327,54901.3554946488,55666.53093720073,54328.195442995595,18151734.1156907,1005509003834.9082,324940527219849.75,5917848836.78871,54762.86740224689,0.026469206843153396,1.0020501446075836,100600
2025-11-17,131,54886.43607192808,-7.086047749310243,0.019862536016783294,54894.03895238931,55659.27694646179,54320.93752108763,18151915.28251285,1005391668401.1534,324896239857946.3,5917831317.713184,54755.182958000376,0.026473369374162163,1.002056038147483,97800
2025-11-18,132,54879.19961366917,-7.061467215806186,0.01990296512360649,54886.747081247726,55652.04741761617,54313.70423378746,18152093.350421544,1005274615512.6434,324852097898961.25,5917813779.914774,54747.5228833892,0.0264775075522693,1.0020619392215664,96500
2025-11-19,133,54871.9876487,-7.036896115800726,0.01994337185775796,54879.47987984499,55644.8423599028,54306.495562510856,18152268.61819727,1005157863210.5088,324808101309766.44,5917796223.85307,54739.88730544839,0.026481622497190348,1.00206784570385,100600
2025-11-20,134,54864.80016118614,-7.012342143141677,0.01998374640960948,54872.23733867017,55637.66177398095,54299.31148137456,18152441.371382605,1005041428576.2595,324764250010965.1,5917778649.980178,54732.276337129966,0.02648571528329188,1.00207375556591,94800
2025-11-21,135,54857.637127915455,-6.987812621065107,0.020024079443402187,54865.01944046882,55630.50565233572,54292.15195755174,18152611.882794216,1004925327770.3591,324720543879111.2,5917761058.740883,54724.69007792113,0.02648978694131534,1.0020796668731151,96700
2025-11-24,136,54850.49851865616,-6.963314516915215,0.02006436207839157,54857.82616061595,55623.37397966757,54285.01695161319,18152780.413015783,1004809576069.3262,324676982748840.0,5917743450.572817,54717.12861443874,0.02649383846003645,1.002085577780997,99300
2025-11-25,137,54843.38429650046,-6.938854456294234,0.020104585870743496,54850.65746747413,55616.26673326629,54277.90641785494,18152947.210873224,1004694187901.4971,324633566414915.1,5917725825.906614,54709.59202100104,0.02649787078786255,1.0020914865317505,102800
2025-11-26,138,54836.29441819474,-6.914438736669975,0.020144742796103548,54843.51332273751,55609.18388337031,54270.820304612906,18153112.513891153,1004579176881.3539,324590294634193.25,5917708185.166065,54702.08036017728,0.026501884834370243,1.0020973914508635,103500
2025-11-27,139,54829.22883445641,-6.8900733404609475,0.0201848252328662,54836.39368176203,55602.12539351167,54263.75855456486,18153276.5487332,1004464555842.6276,324547167127511.0,5917690528.768266,54694.5936833163,0.026505881471785526,1.0021032909438687,100500
2025-11-28,140,54822.18749027824,-6.865763947623709,0.020224825946047086,54829.29849388245,55595.091220847244,54256.72110502026,18153439.531625573,1004350336870.117,324504183581496.2,5917672857.12376,54687.13203105463,0.026509861536408608,1.0021091834932154,100800
2025-12-01,141,54815.170325220315,-6.841515947782124,0.020264738071772644,54822.22770271681,55588.08131647682,54249.707888198536,18153601.668764886,1004236531330.3096,324461343650306.94,5917655170.636684,54679.69543380492,0.026513825829985377,1.002115067655254,103400
2025-12-02,142,54808.17727369054,-6.817334451844868,0.02030455510241645,54815.181246458604,55581.09562574849,54242.71883149615,18153763.15671055,1004123149900.8339,324418646957301.06,5917637469.704899,54672.28391222552,0.026517775121027626,1.0021209420573343,104500
2025-12-03,143,54801.20826521366,-6.793224303228701,0.02034427087222809,54808.159058157355,55574.134088551815,54235.753857742966,18153924.182762705,1004010202598.8059,324376093096638.06,5917619754.720122,54664.89747767174,0.02652171014608387,1.0021268053950094,105100
2025-12-04,144,54794.26322468958,-6.769190088627884,0.02038387954356678,54801.16106598779,55567.1966395992,54228.812885448,18154084.925325938,1003897698808.091,324333681634817.25,5917602026.06806,54657.536132629575,0.02652563161096262,1.0021326564293433,108400
2025-12-05,145,54787.34207264118,-6.745236148383089,0.0204233755936192,54794.187193508245,55560.28320869607,54221.89582903561,18154245.554259293,1003785647305.5344,324291412112153.25,5917584284.12853,54650.19987113256,0.026529540191909867,1.0021384939843165,109500
2025-12-08,146,54780.44472545214,-6.7213665864423255,0.020462753801681218,54787.2373599086,55553.39372100008,54215.00259907175,18154406.231213342,1003674056286.1963,324249284044192.4,5917566529.275579,54642.888679162235,0.02653343653674249,1.0021443169443305,108400
2025-12-09,147,54773.57109559516,-6.697585279954854,0.02050200923686046,54780.31148024829,55546.52809726994,54208.13310248125,18154567.109954298,1003562933387.6052,324207296923071.25,5917548761.877608,54635.60253503304,0.02653732126593928,1.0021501242518032,108000
2025-12-10,148,54766.72109185083,-6.673895888492755,0.02054113724629376,54773.409465684505,55539.68625410415,54201.287242756094,18154728.336676307,1003452285713.1152,324165450218820.5,5917530982.29748,54628.341409762,0.026541194973691045,1.0021559149048542,107300
2025-12-11,149,54759.89461951764,-6.650301862915104,0.020580133443807474,54766.531223691214,55532.86810417006,54194.46492015527,18154890.05030169,1003342119854.3519,324123743380615.25,5917513190.892633,54621.10526742393,0.026545058228911463,1.0021616879550763,108900
2025-12-12,150,54753.09158061338,-6.626806453906891,0.02061899369899926,54759.676658269214,55526.073556423646,54187.66603189631,18155052.382770266,1003232441912.8138,324082175837974.6,5917495388.015192,54613.894065492655,0.026548911576209984,1.0021674425053906,104800
2025-12-15,151,54746.31187406831,-6.6034127201813355,0.020657714126735626,54752.84567014771,55519.30251632033,54180.89047233912,18155215.45931734,1003123257520.6271,324040747001912.2,5917477574.012067,54606.70775516867,0.026552755536828364,1.0021731777079812,102800
2025-12-16,152,54739.5553959104,-6.580123536367896,0.020696291077080414,54746.038156977425,55512.554886017184,54174.13813316205,18155379.398741454,1003014571860.5262,323999456266039.0,5917459749.2250595,54599.54628169389,0.02655659060954204,1.0021788927623079,107900
2025-12-17,153,54732.82203944288,-6.556941600608258,0.020734721125566718,54739.254013515994,55505.83056456688,54167.40890353081,18155544.313662123,1002906389685.0604,323958303007621.6,5917441913.990963,54592.409584653884,0.026560417271527744,1.0021845869131922,107600
2025-12-18,154,54726.11169541453,-6.533869441842736,0.020773001063887738,54732.49313180555,55499.12944810365,54160.7026702603,18155710.310767654,1002798715335.0541,323917286588595.9,5917424068.641658,54585.2975982681,0.026564235979198568,1.0021902594489773,106300
2025-12-19,155,54719.42425218284,-6.510909426845853,0.020811127890899308,54725.75540134302,55492.451430021574,54154.019317969665,18155877.491053846,1002691552757.3837,323876406356539.2,5917406213.504204,54578.21025166847,0.026568047169007732,1.0021959096997544,110500
2025-12-22,156,54712.75959587047,-6.4880637669595025,0.020849098804007895,54719.04070924344,55485.79640114554,54147.35872923101,18156045.950053338,1002584905522.0262,323835661645602.25,5917388348.900934,54571.14746916692,0.02657185125822216,1.0022015370356587,111500
2025-12-23,157,54706.11761051505,-6.465334524601122,0.020886911190845566,54712.34894039634,55479.164249895126,54140.720784711724,18156215.778056566,1002478776838.5016,323795051777401.8,5917370475.149543,54564.10917051214,0.026575648645667062,1.0022071408652282,111100
2025-12-24,158,54699.498178212874,-6.442723619492252,0.0209245626213117,54705.67997761569,55472.55486244164,54134.10536331093,18156387.06032416,1002373169571.6365,323754576061876.25,5917352592.563173,54557.09527113603,0.026579439712442525,1.002212720633824,117000
2025-12-26,159,54692.901179256354,-6.420232834668706,0.02096205083988911,54699.03370178349,55465.96812285858,54127.51234229006,18156559.877291575,1002268086256.754,323714233798105.1,5917334701.450501,54550.10568239021,0.02658322482261323,1.0022182758221114,119500
2025-12-29,160,54686.32649226587,-6.3978638222517965,0.020999373758261008,54692.40999198743,55459.40391326589,54120.94159739796,18156734.304765537,1002163529114.244,323674024275094.1,5917316802.115818,54543.140311773,0.026587004323872218,1.0022238059445983,119900
2025-12-30,161,54679.77399431588,-6.3756181089975605,0.021036529448214793,54685.808725652576,55452.86211396801,54114.39300299066,18156910.414113484,1002059500063.5997,323633946772527.0,5917298894.859108,54536.19906314714,0.02659077854817974,1.0022293105482278,128500
2026-01-02,162,54673.24356105579,-6.353497101632538,0.02107351613482959,54679.22977866765,55446.34260358631,54107.86643214602,18157088.272445433,1001956000736.882,323594000561485.5,5917280979.9761305,54529.281836948736,0.02659454781237809,1.0022347892110268,138100
2026-01-05,163,54666.73506682551,-6.331502091986568,0.021110332189905653,54672.67302550579,55439.84525918567,54101.36175677338,18157267.94278926,1001853032491.6879,323554184905138.3,5917263057.758492,54522.38853038763,0.02659831241878329,1.0022402415408027,138900
2026-01-06,164,54660.24838476625,-6.309634261921527,0.021146976125667138,54666.13833934024,55433.36995639588,54094.87884771863,18157449.484259002,1001750596423.5824,323514499059401.0,5917245128.493724,54515.519037639606,0.026602072655754552,1.0022456671738926,141000
2026-01-07,165,54653.78338692635,-6.287894688084773,0.02118344658868423,54659.62559215506,55426.91656952777,54088.41757486451,18157632.95221706,1001648693378.0801,323474942273567.06,5917227192.46535,54508.673250030704,0.02660582879824226,1.0022510657739585,138800
2026-01-08,166,54647.339944362655,-6.266284346451084,0.021219742354069062,54653.13465485099,55420.484971684346,54081.97780722675,18157818.39842982,1001547323962.1304,323435513790912.06,5917209249.952963,54501.85105621394,0.026609581108315357,1.002256437030829,139000
2026-01-09,167,54640.9179272374,-6.244804116725678,0.021255862319843385,54646.66539734678,55414.075034867165,54075.55941304585,18158005.871217873,1001446488555.1736,323396212849271.2,5917191301.232287,54495.052342338735,0.026613329835668838,1.0022617806593848,138800
2026-01-12,168,54634.517204910924,-6.223454786546579,0.021291805501577315,54640.217688676144,55407.686630078104,54069.16225987486,18158195.415600047,1001346187319.754,323357038681591.94,5917173346.575249,54488.276992213345,0.02661707521811213,1.0022670963984883,137600
2026-01-13,169,54628.13764603027,-6.202237055536163,0.021327571027188474,54633.791397080466,55401.31962741675,54062.78621466333,18158387.07343199,1001246420211.7131,323317990516462.4,5917155386.250039,54481.52488746049,0.026620817482039053,1.002272384009952,140300
2026-01-14,170,54621.77911861388,-6.181151539190797,0.02136315813199911,54627.38639009728,55394.97389617341,54056.43114383745,18158580.88353964,1001147186989.9957,323279067578616.0,5917137420.521181,54474.795907666536,0.02662455684288007,1.0022776432775489,143900
2026-01-15,171,54615.4414901325,-6.160198772638996,0.02139856615390825,54621.00253464506,55388.64930491815,54050.09691337659,18158776.881847635,1001048487226.0627,323240269089414.4,5917119449.649589,54468.089930524395,0.026628293505537422,1.0022828740060579,148900
2026-01-16,172,54609.124627586505,-6.1393792142193,0.021433794528830954,54614.63969710403,55382.345721585865,54043.78338888647,18158975.10150244,1000950320312.9337,323201594267308.2,5917101473.892627,54461.40683197044,0.026632027664803874,1.0022880760203492,149300
2026-01-19,173,54602.82839757977,-6.118693248943895,0.02146884278626723,54608.29774339359,55376.06301355756,54037.49043566894,18159175.57299099,1000852685473.8549,323163042328277.7,5917083493.504175,54454.7464863156,0.02663575950576564,1.0022932491645034,145200
2026-01-20,174,54596.55266639009,-6.098141191824187,0.02150371054505899,54601.976539045994,55369.801047738,54031.21791878859,18159378.324254848,1000755581770.6652,323124612486252.94,5917065508.73468,54448.10876637095,0.026639489204190035,1.0022983933009637,149500
2026-01-21,175,54590.29730003654,-6.0777232910582235,0.02153839750930064,54595.675949276876,55363.55969062989,54024.96570313636,18159583.380799733,1000659008111.7831,323086303953515.3,5917047519.831215,54441.49354356792,0.02664321692689852,1.0023035083097227,149500
2026-01-22,176,54584.06216434359,-6.057439731102345,0.02157290346442858,54589.39583905251,55357.338808404675,54018.73365349006,18159790.765801158,1000562963259.9211,323048115941080.5,5917029527.037533,54434.90068807336,0.026646942832125584,1.0023085940875391,152100
2026-01-23,177,54577.84712500242,-6.037290635608084,0.021607228273460437,54583.13607315395,55351.13826697013,54012.52163457222,18160000.500205543,1000467445839.4474,323010047659063.8,5917011530.594122,54428.33006889966,0.026650667069864083,1.0023136505471861,152100
2026-01-26,178,54571.652047629264,-6.017276070270501,0.02164137187335918,54576.89651623827,55344.95793203485,54006.32951110517,18160212.60282791,1000372454343.4974,322972098317028.56,5916993530.738258,54421.781554010166,0.026654389782197425,1.0023186776167277,159500
