Date,Step,종가_pred,대비_pred,등락률_pred,시가_pred,고가_pred,저가_pred,거래량_pred,거래대금_pred,시가총액_pred,상장주식수_pred,종가_actual
2025-09-26,100,58877.246962749836,17.372043380674782,0.062199744006363605,58878.65700528775,59590.67353831328,58290.60293075868,17698942.524063703,1053179549516.3856,348847484411868.75,5922980646.9542265,84200.0
2025-09-29,101,58894.406578068396,17.159615318568527,0.06187630070617786,58896.029867433455,59608.07712022939,58307.665452991845,17702134.34803649,1053708044948.8274,348952223013915.1,5923021741.567142,83900.0
2025-09-30,102,58911.35568243278,16.94910436439524,0.06155551026930825,58913.18928453182,59625.26782416169,58324.5182655455,17705337.877164107,1054232900472.8848,349055703582145.6,5923062810.966845,86000.0
2025-10-01,103,58928.09618225881,16.74049982603107,0.06123736140236233,58930.13719264883,59642.24757190276,58341.16327135296,17708552.513055637,1054754121523.749,349157937249265.7,5923103850.745231,89000.0
2025-10-02,104,58944.62997324268,16.533790983876557,0.06092184270824483,58946.875516923865,59659.01827451862,58357.60236259813,17711777.66714209,1055271713867.0754,349258935088795.0,5923144856.579783,94400.0
2025-10-10,105,58960.95894033538,16.328967092713143,0.060608942689647755,58963.40617154442,59675.5818323214,58373.8374206908,17715012.760563917,1055785683592.1499,349358708114854.25,5923185824.232496,93300.0
2025-10-13,106,58977.08495771899,16.12601738360992,0.06029864975245611,58979.7310597226,59691.940134843935,58389.870316243745,17718257.224058367,1056296037105.112,349457267281963.3,5923226749.5487995,91600.0
2025-10-14,107,58993.009888784545,15.924931065561637,0.05999095220882142,58995.85207367357,59708.09506081604,58405.70290905176,17721510.497848283,1056802781122.2969,349554623484850.0,5923267628.456504,95000.0
2025-10-15,108,59008.73558611168,15.725697327143294,0.05968583828016691,59011.77109459551,59724.04847814254,58421.337048072084,17724772.031532317,1057305922663.6654,349650787558269.1,5923308456.964748,97700.0
2025-10-16,109,59024.263891449824,15.528305338143142,0.059383296100321864,59027.4899926513,59739.8022438829,58436.774571406604,17728041.283975873,1057805469046.3307,349745770276832.3,5923349231.162961,97900.0
2025-10-17,110,59039.59663570115,15.332744251335967,0.059083313718737734,59043.01062695188,59755.35820423267,58452.017306285656,17731317.723202534,1058301427878.1475,349839582354848.2,5923389947.219826,98100.0
2025-10-20,111,59054.735638905164,15.139003204028555,0.058785879103408906,59058.33484554123,59770.71819450645,58467.067069053475,17734600.82628656,1058793807051.373,349932234446173.06,5923430601.382266,97500.0
2025-10-21,112,59069.682710224704,14.947071319544435,0.0584909801436114,59073.46448538299,59785.8840391226,58481.92566515512,17737890.07924694,1059282614736.4702,350023737144070.7,5923471189.974432,98600.0
2025-10-22,113,59084.43964793355,14.756937708858246,0.05819860465294399,59088.40137234853,59800.857551589266,58496.59488912499,17741184.9769419,1059767859375.959,350114100981082.1,5923511709.396697,96500.0
2025-10-23,114,59099.00823940573,14.568591472181893,0.05790874037241597,59103.14732120658,59815.64053449229,58511.07652457682,17744485.02296359,1060249549678.296,350203336428906.0,5923552156.12467,98800.0
2025-10-24,115,59113.390261105946,14.382021700216924,0.05762137497262096,59117.704135614564,59830.23477948435,58525.37234419516,17747789.729536105,1060727694611.9937,350291453898286.8,5923592526.708209,102000.0
2025-10-27,116,59127.587478582034,14.197217476094934,0.05733649605753474,59132.07360811101,59844.642067275854,58539.48410972839,17751098.617410082,1061202303399.5568,350378463738914.7,5923632817.770453,99500.0
2025-10-28,117,59141.601646458264,14.014167876242496,0.05705409116611401,59146.257520110026,59858.86416762714,58553.41357198309,17754411.21576326,1061673385511.7977,350464376239331.7,5923673026.006857,100500.0
2025-10-29,118,59155.43450843045,13.832861972192418,0.056774147775695866,59160.25764189657,59872.902839342125,58567.16247081977,17757727.06209842,1062140950662.033,350549201626848.94,5923713148.184235,104100.0
2025-10-30,119,59169.08779726227,13.653288831829755,0.05649665330439188,59174.0757326235,59886.75983026346,58580.73253515008,17761045.702143565,1062605008800.4238,350632950067471.75,5923753181.139818,107500.0
2025-10-31,120,59182.56323478312,13.475437520861547,0.05622159511380018,59187.71354030993,59900.436877269,58594.125482935284,17764366.689752497,1063065570108.3706,350715631665834.2,5923793121.780321,111100.0
2025-11-03,121,59195.86253188708,13.299297103976656,0.055948960511369744,59201.17280184091,59913.93570626971,58607.343021186214,17767689.586806674,1063522644993.0044,350797256465141.0,5923832967.081012,104900.0
2025-11-04,122,59208.9873885334,13.124856646325739,0.05567873675307697,59214.45524296845,59927.25803220884,58620.38684596427,17771013.963117965,1063976244081.7703,350877834447119.0,5923872714.084798,100600.0
2025-11-05,123,59221.93949374813,12.952105214724057,0.05541091104584414,59227.56257831379,59940.405559062434,58633.25864238395,17774339.396331932,1064426378217.0409,350957375531975.9,5923912359.901315,99200.0
2025-11-06,124,59234.720525627155,12.781031879034359,0.05514547055005389,59240.496511371064,59953.37997984123,58645.96008461649,17777665.47183188,1064873058450.8191,351035889578367.8,5923951901.706031,97900.0
2025-11-07,125,59247.33215134032,12.611625713174377,0.05488240238169681,59253.258734512136,59966.182976593635,58658.492835894795,17780991.782644518,1065316296039.555,351113386383374.3,5923991336.739354,100600.0
